no,original_file,new_file,module,description,size,md5
1,1bd0fa2a-6396-482a-b602-da02437a931e.png,screen-01-workspace-growth-ops-overview.png,Organization / workspace admin,"Growth Ops workspace overview with members, agents, credentials, approvals, budget and guardrails.",1672x941,9c38f4359c64e96a0cf27e1130aecb1f
2,"ChatGPT Image Jun 25, 2026, 01_04_25 PM (1).png",screen-02-service-library-overview.png,Connectors / services,"Service Library overview with KPIs, filters, categories and service list.",1448x1086,1a2f5f55e46c3345cf68921544fcc555
3,"ChatGPT Image Jun 25, 2026, 01_04_25 PM (2).png",screen-03-service-register-wizard-basic-info.png,Connectors / services,"Register New Service wizard step 1 for basic information, visibility and workspace access.",1448x1086,c6266d12c828082c68c262c686b74db0
4,"ChatGPT Image Jun 25, 2026, 01_04_25 PM (3).png",screen-04-service-detail-asana-overview.png,Connectors / services,"Asana service detail page with overview, health, usage, quick actions and activity.",1448x1086,99a017298557eed0800f678c919c6fb5
5,"ChatGPT Image Jun 25, 2026, 01_04_26 PM (4).png",screen-05-service-edit-basic-settings.png,Connectors / services,"Edit Service wizard for basic settings, rate limit, retry, timeout and sharing.",1448x1086,9307cb9f0ec7396956586ebd2411edfa
6,"ChatGPT Image Jun 25, 2026, 01_04_27 PM (5).png",screen-06-service-configure-actions.png,Connectors / services,"Configure Actions wizard step for service endpoints/actions, methods, paths and enable toggles.",1448x1086,e052b59a9c31514c0b22be9ad7da9c98
7,"ChatGPT Image Jun 25, 2026, 01_04_27 PM (6).png",screen-07-services-management-table.png,Connectors / services,"Services Management table with filters, export, register service and pagination.",1448x1086,7867720a18b7ef32f05f6c1f1482b249
8,"ChatGPT Image Jun 25, 2026, 01_17_08 PM.png",screen-08-oauth-provider-connection-flow-overview.png,Connectors / OAuth,"Composite OAuth provider setup flow: connections list, provider wizard, scopes, review and success state.",1536x1024,93d3ac1c08175f60f2477b0394d58434
9,"ChatGPT Image Jun 25, 2026, 12_03_08 PM (5).png",screen-09-agent-builder-attach-credentials-vault.png,Agent builder,Attach Credentials from Vault step for reusable encrypted credentials and permission education.,1672x941,1eb838a27907eb941e8c1be54d26ca80
10,"ChatGPT Image Jun 25, 2026, 12_03_09 PM (7).png",screen-10-agent-detail-test-publish-monitor.png,Agent detail,"Published agent Test, Publish & Monitor dashboard with status, last test, controls, charts and quick test.",1672x941,bf0a31c54ab335a65a5b71614c689346
